[2025-06-26 09:09:01] 📊 CPU: 3.3% | RAM: 65.8% | SWAP: 0.0% | Disk I/O: 0.19 MB/s | SSH: 0 | 🌐 Port 3005: 0 conns | ↑ 20781352.0 KB ↓ 409668.0 KB | 🌐 Port 3006: 0 conns | ↑ 0.0 KB ↓ 0.0 KB
[2025-06-26 09:08:49] 📊 CPU: 3.3% | RAM: 65.7% | SWAP: 0.0% | Disk I/O: 0.79 MB/s | SSH: 0 | 🌐 Port 3005: 0 conns | ↑ 20780896.0 KB ↓ 409668.0 KB | 🌐 Port 3006: 0 conns | ↑ 0.0 KB ↓ 0.0 KB
[2025-06-26 09:08:36] 📊 CPU: 5.2% | RAM: 65.7% | SWAP: 0.0% | Disk I/O: 0.13 MB/s | SSH: 0 | 🌐 Port 3005: 0 conns | ↑ 20779804.0 KB ↓ 409644.0 KB | 🌐 Port 3006: 0 conns | ↑ 0.0 KB ↓ 0.0 KB
[2025-06-26 09:08:24] 📊 CPU: 4.5% | RAM: 65.8% | SWAP: 0.0% | Disk I/O: 0.14 MB/s | SSH: 0 | 🌐 Port 3005: 0 conns | ↑ 20778508.0 KB ↓ 409640.0 KB | 🌐 Port 3006: 0 conns | ↑ 0.0 KB ↓ 0.0 KB
[2025-06-26 09:08:12] 📊 CPU: 4.2% | RAM: 65.8% | SWAP: 0.0% | Disk I/O: 0.67 MB/s | SSH: 0 | 🌐 Port 3005: 0 conns | ↑ 20777192.0 KB ↓ 409628.0 KB | 🌐 Port 3006: 0 conns | ↑ 0.0 KB ↓ 0.0 KB
[2025-06-26 09:08:00] 📊 CPU: 4.1% | RAM: 65.8% | SWAP: 0.0% | Disk I/O: 0.00 MB/s | SSH: 0 | 🌐 Port 3005: 0 conns | ↑ 20776728.0 KB ↓ 409624.0 KB | 🌐 Port 3006: 0 conns | ↑ 0.0 KB ↓ 0.0 KB
[2025-06-26 09:07:48] 📊 CPU: 3.1% | RAM: 65.8% | SWAP: 0.0% | Disk I/O: 0.00 MB/s | SSH: 0 | 🌐 Port 3005: 0 conns | ↑ 20776024.0 KB ↓ 409612.0 KB | 🌐 Port 3006: 0 conns | ↑ 0.0 KB ↓ 0.0 KB
[2025-06-26 09:07:36] 📊 CPU: 3.0% | RAM: 65.7% | SWAP: 0.0% | Disk I/O: 0.03 MB/s | SSH: 0 | 🌐 Port 3005: 0 conns | ↑ 20775792.0 KB ↓ 409608.0 KB | 🌐 Port 3006: 0 conns | ↑ 0.0 KB ↓ 0.0 KB
[2025-06-26 09:07:24] 📊 CPU: 4.4% | RAM: 65.7% | SWAP: 0.0% | Disk I/O: 0.00 MB/s | SSH: 0 | 🌐 Port 3005: 0 conns | ↑ 20775564.0 KB ↓ 409608.0 KB | 🌐 Port 3006: 0 conns | ↑ 0.0 KB ↓ 0.0 KB
[2025-06-26 09:07:12] 📊 CPU: 4.0% | RAM: 65.7% | SWAP: 0.0% | Disk I/O: 0.15 MB/s | SSH: 0 | 🌐 Port 3005: 0 conns | ↑ 20774196.0 KB ↓ 409596.0 KB | 🌐 Port 3006: 0 conns | ↑ 0.0 KB ↓ 0.0 KB
